,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,snow
129,"{'lon': 160.7, 'lat': -8.77}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 303, 'feels_like': 306.53, 'temp_min': 303, 'temp_max': 303, 'pressure': 1006, 'humidity': 67, 'sea_level': 1006, 'grnd_level': 1004}",10000,"{'speed': 2.48, 'deg': 284}",{'all': 70},1607812287,"{'country': 'SB', 'sunrise': 1607799159, 'sunset': 1607844614}",39600,2109701,Auki,200,,
130,"{'lon': 132.75, 'lat': -5.67}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 302.12, 'feels_like': 306.01, 'temp_min': 302.12, 'temp_max': 302.12, 'pressure': 1008, 'humidity': 64, 'sea_level': 1008, 'grnd_level': 1008}",10000,"{'speed': 0.76, 'deg': 12}",{'all': 80},1607812287,"{'country': 'ID', 'sunrise': 1607806194, 'sunset': 1607850999}",32400,1623197,Tual,200,,
131,"{'lon': -15.83, 'lat': 11.28}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 300.92, 'feels_like': 300.8, 'temp_min': 300.92, 'temp_max': 300.92, 'pressure': 1011, 'humidity': 66, 'sea_level': 1011, 'grnd_level': 1009}",10000,"{'speed': 6.03, 'deg': 291}",{'all': 0},1607812292,"{'country': 'GW', 'sunrise': 1607757190, 'sunset': 1607798489}",0,2374583,Bubaque,200,,
132,"{'lon': 102.5, 'lat': 71.97}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,"{'temp': 245.76, 'feels_like': 239.04, 'temp_min': 245.76, 'temp_max': 245.76, 'pressure': 1007, 'humidity': 88, 'sea_level': 1007, 'grnd_level': 1004}",186,"{'speed': 4.15, 'deg': 163}",{'all': 100},1607812293,"{'country': 'RU', 'sunrise': 0, 'sunset': 0}",25200,2022572,Khatanga,200,,{'1h': 0.24}
133,"{'lon': 156.84, 'lat': -8.1}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 302.82, 'feels_like': 305.36, 'temp_min': 302.82, 'temp_max': 302.82, 'pressure': 1007, 'humidity': 68, 'sea_level': 1007, 'grnd_level': 1007}",10000,"{'speed': 3.96, 'deg': 271}",{'all': 9},1607812294,"{'country': 'SB', 'sunrise': 1607800156, 'sunset': 1607845470}",39600,2108857,Gizo Government Station,200,,
134,"{'lon': -72.22, 'lat': 7.77}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 301.15, 'feels_like': 302.86, 'temp_min': 301.15, 'temp_max': 301.15, 'pressure': 1012, 'humidity': 69}",10000,"{'speed': 4.1, 'deg': 360}",{'all': 40},1607812294,"{'type': 1, 'id': 8587, 'country': 'VE', 'sunrise': 1607770360, 'sunset': 1607812395}",-14400,3628473,San Cristobal,200,,
135,"{'lon': 19.77, 'lat': -17.93}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 294.95, 'feels_like': 296.13, 'temp_min': 294.95, 'temp_max': 294.95, 'pressure': 1009, 'humidity': 69, 'sea_level': 1009, 'grnd_level': 888}",10000,"{'speed': 1.07, 'deg': 52}",{'all': 63},1607812294,"{'country': 'NA', 'sunrise': 1607831979, 'sunset': 1607879461}",7200,3353383,Rundu,200,,
136,"{'lon': -0.84, 'lat': 9.4}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 303.13, 'feels_like': 302.06, 'temp_min': 303.13, 'temp_max': 303.13, 'pressure': 1009, 'humidity': 26, 'sea_level': 1009, 'grnd_level': 987}",10000,"{'speed': 0.99, 'deg': 25}",{'all': 22},1607812294,"{'country': 'GH', 'sunrise': 1607753393, 'sunset': 1607795089}",0,2294877,Tamale,200,,
137,"{'lon': 17.94, 'lat': -33.01}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 288.15, 'feels_like': 287.42, 'temp_min': 288.15, 'temp_max': 288.15, 'pressure': 1017, 'humidity': 77}",10000,"{'speed': 1.5, 'deg': 210}",{'all': 8},1607812294,"{'type': 1, 'id': 1943, 'country': 'ZA', 'sunrise': 1607830415, 'sunset': 1607881905}",7200,3361934,Saldanha,200,,
138,"{'lon': 121.9, 'lat': -33.87}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 291.15, 'feels_like': 289.56, 'temp_min': 291.15, 'temp_max': 291.15, 'pressure': 998, 'humidity': 88}",10000,"{'speed': 5.1, 'deg': 10}",{'all': 0},1607812294,"{'type': 1, 'id': 9525, 'country': 'AU', 'sunrise': 1607805324, 'sunset': 1607857078}",28800,2071860,Esperance,200,,
139,"{'lon': -147.8, 'lat': 64.86}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 249.31, 'feels_like': 244.04, 'temp_min': 246.15, 'temp_max': 253.71, 'pressure': 1018, 'humidity': 69}",10000,"{'speed': 2.1, 'deg': 40}",{'all': 40},1607812294,"{'type': 1, 'id': 7683, 'country': 'US', 'sunrise': 1607802530, 'sunset': 1607816514}",-32400,5859699,College,200,,
140,"{'lon': 140.83, 'lat': 35.73}","[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",stations,"{'temp': 275.15, 'feels_like': 271.47, 'temp_min': 275.15, 'temp_max': 275.15, 'pressure': 1008, 'humidity': 100}",10000,"{'speed': 2.86, 'deg': 130}",{'all': 20},1607812295,"{'type': 1, 'id': 7955, 'country': 'JP', 'sunrise': 1607809077, 'sunset': 1607844237}",32400,2112802,Hasaki,200,,
141,"{'lon': 172.63, 'lat': -43.53}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 288.37, 'feels_like': 281.53, 'temp_min': 287.04, 'temp_max': 289.26, 'pressure': 1019, 'humidity': 51}",10000,"{'speed': 8.2, 'deg': 190}",{'all': 67},1607812078,"{'type': 1, 'id': 7348, 'country': 'NZ', 'sunrise': 1607791343, 'sunset': 1607846701}",46800,2192362,Christchurch,200,,
142,"{'lon': -121.89, 'lat': 37.34}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 286.82, 'feels_like': 283.4, 'temp_min': 286.48, 'temp_max': 287.15, 'pressure': 1020, 'humidity': 67}",10000,"{'speed': 4.1, 'deg': 290}",{'all': 75},1607812128,"{'type': 1, 'id': 5845, 'country': 'US', 'sunrise': 1607785980, 'sunset': 1607820624}",-28800,5392171,San Jose,200,,
143,"{'lon': 135.98, 'lat': 33.73}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 281.06, 'feels_like': 277.48, 'temp_min': 281.06, 'temp_max': 281.06, 'pressure': 1015, 'humidity': 72, 'sea_level': 1015, 'grnd_level': 998}",10000,"{'speed': 3.01, 'deg': 285}",{'all': 17},1607812295,"{'country': 'JP', 'sunrise': 1607809931, 'sunset': 1607845711}",32400,1847947,Shingū,200,,
144,"{'lon': -165.41, 'lat': 64.5}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 267.15, 'feels_like': 259.43, 'temp_min': 267.15, 'temp_max': 267.15, 'pressure': 1007, 'humidity': 48}",10000,"{'speed': 6.2, 'deg': 40}",{'all': 90},1607812295,"{'type': 1, 'id': 7770, 'country': 'US', 'sunrise': 1607806371, 'sunset': 1607821129}",-32400,5870133,Nome,200,,
145,"{'lon': -98.75, 'lat': 16.52}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 301.08, 'feels_like': 303.39, 'temp_min': 301.08, 'temp_max': 301.08, 'pressure': 1010, 'humidity': 69, 'sea_level': 1010, 'grnd_level': 1010}",10000,"{'speed': 3.19, 'deg': 240}",{'all': 4},1607812295,"{'country': 'MX', 'sunrise': 1607777666, 'sunset': 1607817828}",-21600,3516171,Barra de Tecoanapa,200,,
146,"{'lon': -77.63, 'lat': 49.75}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,"{'temp': 262.15, 'feels_like': 256.08, 'temp_min': 262.15, 'temp_max': 262.15, 'pressure': 1022, 'humidity': 92}",10000,"{'speed': 4.1, 'deg': 70}",{'all': 90},1607812295,"{'type': 1, 'id': 866, 'country': 'CA', 'sunrise': 1607777962, 'sunset': 1607807391}",-18000,6067747,Matagami,200,,
147,"{'lon': 143.35, 'lat': 44.35}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 271.48, 'feels_like': 266.63, 'temp_min': 271.48, 'temp_max': 271.48, 'pressure': 1007, 'humidity': 75}",10000,"{'speed': 3.13, 'deg': 318, 'gust': 5.36}",{'all': 99},1607812296,"{'type': 3, 'id': 20157, 'country': 'JP', 'sunrise': 1607810050, 'sunset': 1607842054}",32400,2129163,Mombetsu,200,,
148,"{'lon': -52.9, 'lat': 65.42}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 268.51, 'feels_like': 263.29, 'temp_min': 268.51, 'temp_max': 268.51, 'pressure': 1003, 'humidity': 87, 'sea_level': 1003, 'grnd_level': 997}",10000,"{'speed': 3.52, 'deg': 128}",{'all': 100},1607812296,"{'country': 'GL', 'sunrise': 1607780397, 'sunset': 1607793081}",-10800,3421982,Maniitsoq,200,,
149,"{'lon': 178.42, 'lat': 69.38}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 260.62, 'feels_like': 254.71, 'temp_min': 260.62, 'temp_max': 260.62, 'pressure': 1032, 'humidity': 95, 'sea_level': 1032, 'grnd_level': 1031}",2846,"{'speed': 3.77, 'deg': 118}",{'all': 100},1607812296,"{'country': 'RU', 'sunrise': 0, 'sunset': 0}",43200,2123814,Leningradskiy,200,,
150,"{'lon': 108.11, 'lat': -7.35}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 295.5, 'feels_like': 299.23, 'temp_min': 295.5, 'temp_max': 295.5, 'pressure': 1009, 'humidity': 90, 'sea_level': 1009, 'grnd_level': 960}",6905,"{'speed': 0.39, 'deg': 29}",{'all': 99},1607812296,"{'country': 'ID', 'sunrise': 1607811934, 'sunset': 1607857090}",25200,1626936,Singaparna,200,{'1h': 0.259},
151,"{'lon': -156.47, 'lat': 20.89}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 298.98, 'feels_like': 292.68, 'temp_min': 297.04, 'temp_max': 302.15, 'pressure': 1018, 'humidity': 48}",10000,"{'speed': 10.8, 'deg': 70, 'gust': 14.9}",{'all': 1},1607812296,"{'type': 1, 'id': 7879, 'country': 'US', 'sunrise': 1607792022, 'sunset': 1607831186}",-36000,5847411,Kahului,200,,
152,"{'lon': -61.49, 'lat': -31.25}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 298.38, 'feels_like': 296.32, 'temp_min': 298.15, 'temp_max': 298.71, 'pressure': 1002, 'humidity': 45}",10000,"{'speed': 4.02, 'deg': 71, 'gust': 9.83}",{'all': 78},1607812219,"{'type': 3, 'id': 2007137, 'country': 'AR', 'sunrise': 1607763334, 'sunset': 1607814268}",-10800,3839479,Rafaela,200,,
153,"{'lon': 51.53, 'lat': 25.29}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 291.04, 'feels_like': 289.12, 'temp_min': 289.15, 'temp_max': 292.15, 'pressure': 1020, 'humidity': 63}",10000,"{'speed': 3.1, 'deg': 280}",{'all': 0},1607812296,"{'type': 1, 'id': 7614, 'country': 'QA', 'sunrise': 1607829051, 'sunset': 1607867140}",10800,290030,Doha,200,,
154,"{'lon': -49.47, 'lat': -28.75}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 296.9, 'feels_like': 299.7, 'temp_min': 296.9, 'temp_max': 296.9, 'pressure': 1012, 'humidity': 81, 'sea_level': 1012, 'grnd_level': 1009}",10000,"{'speed': 1.48, 'deg': 339}",{'all': 87},1607812178,"{'country': 'BR', 'sunrise': 1607760810, 'sunset': 1607811021}",-10800,3463066,Forquilhinha,200,,
155,"{'lon': 123.37, 'lat': 66.77}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 230.04, 'feels_like': 224.22, 'temp_min': 230.04, 'temp_max': 230.04, 'pressure': 1035, 'humidity': 77, 'sea_level': 1035, 'grnd_level': 1028}",10000,"{'speed': 2.65, 'deg': 165}",{'all': 51},1607812297,"{'country': 'RU', 'sunrise': 1607826774, 'sunset': 1607834923}",32400,2012530,Zhigansk,200,,
156,"{'lon': 5.71, 'lat': 7.79}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 296.36, 'feels_like': 297.9, 'temp_min': 296.36, 'temp_max': 296.36, 'pressure': 1010, 'humidity': 80, 'sea_level': 1010, 'grnd_level': 950}",10000,"{'speed': 2.78, 'deg': 215}",{'all': 64},1607812297,"{'country': 'NG', 'sunrise': 1607751653, 'sunset': 1607793684}",3600,2328090,Ode,200,,
157,"{'lon': 110.33, 'lat': 1.55}","[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10n'}]",stations,"{'temp': 297.1, 'feels_like': 301.6, 'temp_min': 297.04, 'temp_max': 297.15, 'pressure': 1009, 'humidity': 94}",10000,"{'speed': 1, 'deg': 0}",{'all': 20},1607812297,"{'type': 1, 'id': 9366, 'country': 'MY', 'sunrise': 1607812321, 'sunset': 1607855637}",28800,1735634,Kuching,200,{'1h': 14.55},
158,"{'lon': -15.45, 'lat': 27.91}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 291.01, 'feels_like': 289.72, 'temp_min': 290.93, 'temp_max': 291.15, 'pressure': 1020, 'humidity': 88}",10000,"{'speed': 4.6, 'deg': 10}",{'all': 75},1607812298,"{'type': 1, 'id': 2378, 'country': 'ES', 'sunrise': 1607759033, 'sunset': 1607796464}",0,2522325,Agüimes,200,,
159,"{'lon': -66.38, 'lat': 50.2}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 265.89, 'feels_like': 259.45, 'temp_min': 265.15, 'temp_max': 267.15, 'pressure': 1031, 'humidity': 67, 'sea_level': 1031, 'grnd_level': 1031}",10000,"{'speed': 4.6, 'deg': 10}",{'all': 1},1607812204,"{'type': 1, 'id': 309, 'country': 'CA', 'sunrise': 1607775384, 'sunset': 1607804567}",-18000,6144312,Sept-Îles,200,,
160,"{'lon': -89.6, 'lat': -0.9}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 297.15, 'feels_like': 295.28, 'temp_min': 297.15, 'temp_max': 297.15, 'pressure': 1007, 'humidity': 88}",10000,"{'speed': 9.3, 'deg': 150}",{'all': 75},1607812298,"{'type': 1, 'id': 8546, 'country': 'EC', 'sunrise': 1607773641, 'sunset': 1607817459}",-21600,3652758,Puerto Baquerizo Moreno,200,,
161,"{'lon': -28.7, 'lat': 38.52}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 290.15, 'feels_like': 281.04, 'temp_min': 290.15, 'temp_max': 290.15, 'pressure': 1015, 'humidity': 67}",10000,"{'speed': 13.4, 'deg': 280}",{'all': 40},1607812298,"{'type': 1, 'id': 6883, 'country': 'PT', 'sunrise': 1607763803, 'sunset': 1607798056}",-3600,3372707,Ribeira Grande,200,,
162,"{'lon': -121.92, 'lat': 36.62}","[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",stations,"{'temp': 286.2, 'feels_like': 284.69, 'temp_min': 285.37, 'temp_max': 287.15, 'pressure': 1020, 'humidity': 87}",3219,"{'speed': 2.6, 'deg': 340}",{'all': 90},1607812020,"{'type': 1, 'id': 4980, 'country': 'US', 'sunrise': 1607785868, 'sunset': 1607820750}",-28800,5380437,Pacific Grove,200,,
163,"{'lon': 139.87, 'lat': 34.98}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 283.15, 'feels_like': 280.85, 'temp_min': 283.15, 'temp_max': 283.15, 'pressure': 1008, 'humidity': 87}",10000,"{'speed': 2.6, 'deg': 130}",{'all': 20},1607812298,"{'type': 1, 'id': 8074, 'country': 'JP', 'sunrise': 1607809189, 'sunset': 1607844585}",32400,1850523,Tateyama,200,,
164,"{'lon': -70.22, 'lat': 11.66}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 299.91, 'feels_like': 297.14, 'temp_min': 299.91, 'temp_max': 299.91, 'pressure': 1010, 'humidity': 77, 'sea_level': 1010, 'grnd_level': 1006}",10000,"{'speed': 10.97, 'deg': 74}",{'all': 41},1607812299,"{'country': 'VE', 'sunrise': 1607770289, 'sunset': 1607811506}",-14400,3629614,Punta Cardon,200,,
165,"{'lon': 133.88, 'lat': -23.7}","[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}]",stations,"{'temp': 296.17, 'feels_like': 297.57, 'temp_min': 295.37, 'temp_max': 297.15, 'pressure': 1012, 'humidity': 78}",10000,"{'speed': 2.6, 'deg': 10}",{'all': 90},1607812106,"{'type': 1, 'id': 9483, 'country': 'AU', 'sunrise': 1607803887, 'sunset': 1607852763}",34200,2077895,Alice Springs,200,{'1h': 0.87},
166,"{'lon': 113.63, 'lat': -24.87}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 295.15, 'feels_like': 295.85, 'temp_min': 295.15, 'temp_max': 295.15, 'pressure': 1006, 'humidity': 83}",10000,"{'speed': 3.6, 'deg': 200}",{'all': 90},1607812299,"{'type': 1, 'id': 9505, 'country': 'AU', 'sunrise': 1607808598, 'sunset': 1607857775}",28800,2074865,Carnarvon,200,,
167,"{'lon': 120.26, 'lat': -9.66}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 299.84, 'feels_like': 304.06, 'temp_min': 299.84, 'temp_max': 299.84, 'pressure': 1008, 'humidity': 76, 'sea_level': 1008, 'grnd_level': 1004}",10000,"{'speed': 0.76, 'deg': 247}",{'all': 100},1607812299,"{'country': 'ID', 'sunrise': 1607808773, 'sunset': 1607854417}",28800,1622318,Waingapu,200,{'1h': 0.36},
168,"{'lon': 23.1, 'lat': -13.54}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 291.96, 'feels_like': 293.42, 'temp_min': 291.96, 'temp_max': 291.96, 'pressure': 1010, 'humidity': 92, 'sea_level': 1010, 'grnd_level': 894}",10000,"{'speed': 1.6, 'deg': 347}",{'all': 95},1607812299,"{'country': 'ZM', 'sunrise': 1607831677, 'sunset': 1607878165}",7200,895953,Zambezi,200,{'1h': 0.79},
169,"{'lon': -17.92, 'lat': 28.66}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 289.33, 'feels_like': 287.82, 'temp_min': 288.15, 'temp_max': 291.15, 'pressure': 1021, 'humidity': 77}",10000,"{'speed': 3.1, 'deg': 330}",{'all': 0},1607812300,"{'type': 1, 'id': 2377, 'country': 'ES', 'sunrise': 1607759726, 'sunset': 1607796957}",0,2514651,Los Llanos de Aridane,200,,
170,"{'lon': -51.07, 'lat': 0.04}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 302.15, 'feels_like': 306.04, 'temp_min': 302.15, 'temp_max': 302.15, 'pressure': 1009, 'humidity': 79}",10000,"{'speed': 3.6, 'deg': 40}",{'all': 75},1607812300,"{'type': 1, 'id': 8415, 'country': 'BR', 'sunrise': 1607764487, 'sunset': 1607808112}",-10800,3396016,Macapá,200,,
171,"{'lon': -97.52, 'lat': 28.02}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 292.2, 'feels_like': 289.45, 'temp_min': 290.37, 'temp_max': 293.15, 'pressure': 1014, 'humidity': 77}",10000,"{'speed': 6.2, 'deg': 90}",{'all': 75},1607812309,"{'type': 1, 'id': 3705, 'country': 'US', 'sunrise': 1607778753, 'sunset': 1607816150}",-21600,4726521,San Patricio,200,,
172,"{'lon': 12.78, 'lat': 26.59}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 288.81, 'feels_like': 284.24, 'temp_min': 288.81, 'temp_max': 288.81, 'pressure': 1013, 'humidity': 52, 'sea_level': 1013, 'grnd_level': 958}",10000,"{'speed': 5.17, 'deg': 269}",{'all': 0},1607812309,"{'country': 'LY', 'sunrise': 1607838520, 'sunset': 1607876277}",7200,2219235,Ubari,200,,
173,"{'lon': 166.46, 'lat': -22.28}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 299.2, 'feels_like': 304.93, 'temp_min': 298.15, 'temp_max': 299.82, 'pressure': 1008, 'humidity': 94}",10000,"{'speed': 1, 'deg': 0}",{'all': 100},1607812308,"{'type': 1, 'id': 7344, 'country': 'NC', 'sunrise': 1607796244, 'sunset': 1607844763}",39600,2139521,Noumea,200,{'1h': 0.63},
174,"{'lon': 170.31, 'lat': 69.7}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 259.2, 'feels_like': 255.65, 'temp_min': 259.2, 'temp_max': 259.2, 'pressure': 1026, 'humidity': 85, 'sea_level': 1026, 'grnd_level': 1020}",10000,"{'speed': 0.19, 'deg': 57}",{'all': 100},1607812309,"{'country': 'RU', 'sunrise': 0, 'sunset': 0}",43200,2122090,Pevek,200,,
175,"{'lon': -124.16, 'lat': 40.8}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 285.31, 'feels_like': 284.04, 'temp_min': 285.15, 'temp_max': 285.37, 'pressure': 1017, 'humidity': 81}",10000,"{'speed': 1.5, 'deg': 130}",{'all': 1},1607812115,"{'type': 1, 'id': 3217, 'country': 'US', 'sunrise': 1607787134, 'sunset': 1607820560}",-28800,5563397,Eureka,200,,
176,"{'lon': -0.19, 'lat': 54.08}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 279.92, 'feels_like': 276.77, 'temp_min': 279.82, 'temp_max': 280.15, 'pressure': 1003, 'humidity': 93}",10000,"{'speed': 3.1, 'deg': 270}",{'all': 66},1607812310,"{'type': 1, 'id': 1515, 'country': 'GB', 'sunrise': 1607760695, 'sunset': 1607787475}",0,2654728,Bridlington,200,,
177,"{'lon': 52.12, 'lat': 44.17}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 268.46, 'feels_like': 262.21, 'temp_min': 268.46, 'temp_max': 268.46, 'pressure': 1034, 'humidity': 96, 'sea_level': 1034, 'grnd_level': 1001}",10000,"{'speed': 5.17, 'deg': 117}",{'all': 0},1607812310,"{'country': 'KZ', 'sunrise': 1607831919, 'sunset': 1607863989}",18000,608324,Shetpe,200,,
178,"{'lon': -16.33, 'lat': 33.08}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 290.15, 'feels_like': 290.36, 'temp_min': 290.15, 'temp_max': 290.15, 'pressure': 1022, 'humidity': 77}",10000,"{'speed': 1, 'deg': 310}",{'all': 75},1607812310,"{'type': 1, 'id': 6902, 'country': 'PT', 'sunrise': 1607759965, 'sunset': 1607795954}",0,2270385,Camacha,200,,
179,"{'lon': -27.07, 'lat': 38.73}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 289.2, 'feels_like': 284.13, 'temp_min': 289.15, 'temp_max': 289.26, 'pressure': 1015, 'humidity': 77}",10000,"{'speed': 8.14, 'deg': 271}",{'all': 75},1607812310,"{'type': 1, 'id': 6895, 'country': 'PT', 'sunrise': 1607763448, 'sunset': 1607797628}",-3600,3372760,Praia da Vitória,200,,
180,"{'lon': -13.05, 'lat': 20.52}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 290.09, 'feels_like': 285.39, 'temp_min': 290.09, 'temp_max': 290.09, 'pressure': 1016, 'humidity': 23, 'sea_level': 1016, 'grnd_level': 990}",10000,"{'speed': 3.09, 'deg': 82}",{'all': 25},1607812310,"{'country': 'MR', 'sunrise': 1607757544, 'sunset': 1607796800}",0,2381334,Atar,200,,
181,"{'lon': 15.58, 'lat': 54.18}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 275.37, 'feels_like': 270.97, 'temp_min': 275.37, 'temp_max': 275.37, 'pressure': 1009, 'humidity': 94}",74,"{'speed': 3.75, 'deg': 125}",{'all': 100},1607812310,"{'type': 3, 'id': 2017076, 'country': 'PL', 'sunrise': 1607756942, 'sunset': 1607783655}",3600,3095795,Kołobrzeg,200,{'1h': 0.12},
182,"{'lon': 97.2, 'lat': 40.28}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 257.3, 'feels_like': 250.64, 'temp_min': 257.3, 'temp_max': 257.3, 'pressure': 1037, 'humidity': 83, 'sea_level': 1037, 'grnd_level': 857}",10000,"{'speed': 4.5, 'deg': 89}",{'all': 34},1607812310,"{'country': 'CN', 'sunrise': 1607820329, 'sunset': 1607853934}",28800,1528998,Yumen,200,,
183,"{'lon': 92.75, 'lat': 11.67}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 297.95, 'feels_like': 299.69, 'temp_min': 297.95, 'temp_max': 297.95, 'pressure': 1009, 'humidity': 71, 'sea_level': 1009, 'grnd_level': 1009}",10000,"{'speed': 2.24, 'deg': 27}",{'all': 99},1607812311,"{'country': 'IN', 'sunrise': 1607817594, 'sunset': 1607858805}",19800,1259385,Port Blair,200,,
184,"{'lon': -99.89, 'lat': 16.86}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 300.67, 'feels_like': 303.49, 'temp_min': 300.67, 'temp_max': 300.67, 'pressure': 1010, 'humidity': 72, 'sea_level': 1010, 'grnd_level': 1009}",10000,"{'speed': 2.7, 'deg': 248}",{'all': 11},1607812311,"{'country': 'MX', 'sunrise': 1607777977, 'sunset': 1607818063}",-21600,3533462,Acapulco de Juárez,200,,
185,"{'lon': 5.14, 'lat': 61.99}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 276.31, 'feels_like': 270.26, 'temp_min': 274.82, 'temp_max': 278.15, 'pressure': 1010, 'humidity': 60}",10000,"{'speed': 5.1, 'deg': 90}",{'all': 0},1607812311,"{'type': 1, 'id': 1616, 'country': 'NO', 'sunrise': 1607763261, 'sunset': 1607782350}",3600,3146487,Raudeberg,200,,
